airport,coordinates,code
Hartsfield–Jackson Atlanta International Airport,"33.6367,-84.428101",ATL
Beijing Capital International Airport,"40.080101013183594,116.58499908447266",PEK
Dubai International Airport,"25.2527999878,55.3643989563",DXB
Los Angeles International Airport,"33.942501,-118.407997",LAX
Tokyo International Airport,"35.552299,139.779999",HND
O'Hare International Airport,"41.9786,-87.9048",ORD
Heathrow Airport,"51.4706,-0.461941",LHR
Hong Kong International Airport,"22.308901,113.915001",HKG
Shanghai Pudong International Airport,"31.1434,121.805",PVG
Charles de Gaulle Airport,"49.012798,2.55",CDG
Dallas/Fort Worth International Airport,"32.896801,-97.038002",DFW
Amsterdam Airport Schiphol,"52.308601,4.76389",AMS
Frankfurt Airport,"50.030241,8.561096",FRA
Istanbul Atatürk Airport,"41.261297,28.741951",IST
Guangzhou Baiyun International Airport,"23.392401,113.299004",CAN
John F. Kennedy International Airport,"40.639447,-73.779317",JFK
Singapore Changi Airport,"1.35019,103.994003",SIN
Denver International Airport,"39.861698150635,-104.672996521",DEN
Seoul Incheon International Airport,"37.469101,126.450996",ICN
Suvarnabhumi Airport,"13.6811,100.747002",BKK
Indira Gandhi International Airport,"28.55563,77.09519",DEL
Soekarno–Hatta International Airport,"-6.12557,106.655998",CGK
San Francisco International Airport,"37.619806,-122.374821",SFO
Kuala Lumpur International Airport,"2.74558,101.709999",KUL
Madrid Barajas Airport,"40.471926,-3.56264",MAD
McCarran International Airport,"36.083361,-115.151817",LAS
Chengdu Shuangliu International Airport,"30.558257,103.945966",CTU
Seattle-Tacoma International Airport,"47.447943,-122.310276",SEA
Chhatrapati Shivaji International Airport,"19.0886993408,72.8678970337",BOM
Miami International Airport,"25.79319953918457,-80.29060363769531",MIA
Charlotte Douglas International Airport,"35.2140007019043,-80.94309997558594",CLT
Toronto Pearson International Airport,"43.6772,-79.6306",YYZ
Barcelona–El Prat Airport,"41.2971,2.07846",BCN
Phoenix Sky Harbor International Airport,"33.435302,-112.005905",PHX
Gatwick Airport,"51.148771,-0.192089",LGW
Taiwan Taoyuan International Airport,"25.0777,121.233002",TPE
Munich Airport,"48.353802,11.7861",MUC
Sydney Kingsford-Smith Airport,"-33.946098,151.177002",SYD
Kunming Changshui International Airport,"25.110313,102.936743",KMG
Shenzhen Bao'an International Airport,"22.639299,113.810997",SZX
Orlando International Airport,"28.429399490356445,-81.30899810791016",MCO
Leonardo da Vinci–Fiumicino Airport,"41.804532,12.251998",FCO
George Bush Intercontinental Airport,"29.984399795532227,-95.34140014648438",IAH
Benito Juárez International Airport,"19.435137,-99.071328",MEX
Shanghai Hongqiao International Airport,"31.198104,121.33426",SHA
Newark Liberty International Airport,"40.692501,-74.168701",EWR
Ninoy Aquino International Airport,"14.5086,121.019997",MNL
Narita International Airport,"35.764702,140.386002",NRT
Minneapolis/St Paul International Airport,"44.880081,-93.221741",MSP
Hamad International Airport,"25.273056,51.608056",DOH
Hartsfield–Jackson Atlanta International Airport,"33.6367,-84.428101",ATL
Beijing Capital International Airport,"40.080101013183594,116.58499908447266",PEK
Dubai International Airport,"25.2527999878,55.3643989563",DXB
O'Hare International Airport,"41.9786,-87.9048",ORD
Tokyo Haneda Airport,"35.552299,139.779999",HND
London Heathrow Airport,"51.4706,-0.461941",LHR
Los Angeles International Airport,"33.942501,-118.407997",LAX
Hong Kong International Airport,"22.308901,113.915001",HKG
Paris-Charles de Gaulle Airport,"49.012798,2.55",CDG
Dallas/Fort Worth International Airport,"32.896801,-97.038002",DFW
Istanbul Atatürk Airport,"41.261297,28.741951",IST
Frankfurt Airport,"50.030241,8.561096",FRA
Shanghai Pudong International Airport,"31.1434,121.805",PVG
Amsterdam Airport Schiphol,"52.308601,4.76389",AMS
John F. Kennedy International Airport,"40.639447,-73.779317",JFK
Singapore Changi Airport,"1.35019,103.994003",SIN
Guangzhou Baiyun International Airport,"23.392401,113.299004",CAN
Soekarno-Hatta International Airport,"-6.12557,106.655998",CGK
Denver International Airport,"39.861698150635,-104.672996521",DEN
Suvarnabhumi Airport,"13.6811,100.747002",BKK
San Francisco International Airport,"37.619806,-122.374821",SFO
Seoul Incheon International Airport,"37.469101,126.450996",ICN
Kuala Lumpur International Airport,"2.74558,101.709999",KUL
